r	a	alpha	phi1	phi2	psi1	psi2	pi1	pi2	m
1.0e-6	1.0	0.6387304427230874	0.4	0.0	4.3282246174471334e-158	0.0	0.0	-0.49454201960737854	0.0
0.020001	1.0000404592041692	0.6387304427230874	0.39991685822591966	0.0	-1.2135621645220178e-6	0.0	0.0	-0.4944390206403517	6.489816251117848e-7
0.040001	1.0001213446219621	0.6388047695911169	0.3998583522926785	0.0	-0.004772037083622408	0.0	0.0	-0.49436604435242376	5.185412005547036e-6
0.060001	1.0002561447102094	0.6388999317144584	0.39972999832287887	0.0	-0.007965332305055821	0.0	0.0	-0.4942062919298827	1.749039378089644e-5
0.080001	1.0004447849063658	0.6390205689303174	0.39954131768921974	0.0	-0.010879137477827608	0.0	0.0	-0.4939715114330208	4.142936164284355e-5
0.100001	1.000687161625746	0.6391678656633827	0.3992953657043617	0.0	-0.013707042954269671	0.0	0.0	-0.4936654537493421	8.084428690007138e-5
0.120001	1.0009831396232218	0.6393422785457578	0.3989932826222708	0.0	-0.016496517412040026	0.0	0.0	-0.49328949704388986	0.0001395462274091305
0.14000100000000001	1.0013325509172701	0.6395440080970968	0.3986356550371431	0.0	-0.019263008980603548	0.0	0.0	-0.4928443288501667	0.0002213077859392032
0.160001	1.0017351945180528	0.6397731371536703	0.3982228761517646	0.0	-0.022012213976629183	0.0	0.0	-0.4923303912595846	0.00032985567172518843
0.180001	1.0021908363431213	0.640029683856472	0.3977552674068717	0.0	-0.024746174762850973	0.0	0.0	-0.49174803130019	0.0004688633955091966
0.200001	1.0026992091900566	0.6403136255931288	0.39723312727276183	0.0	-0.027465355339828385	0.0	0.0	-0.4910975613469656	0.0006419441201866274
0.220001	1.0032600127319122	0.6406249111373273	0.39665675338113304	0.0	-0.030169464187465172	0.0	0.0	-0.49037928661367053	0.0008526436876448184
0.240001	1.0038729135252058	0.640963467354805	0.39602645350856647	0.0	-0.03285781975497225	0.0	0.0	-0.4895935188892518	0.0011044338414881612
0.260001	1.0045375450273728	0.6413292031644958	0.39534255139815144	0.0	-0.03552952788901378	0.0	0.0	-0.4887405839144949	0.0014007056644894792
0.280001	1.0052535076231306	0.641722012009538	0.3946053899894069	0.0	-0.03818357440917726	0.0	0.0	-0.4878208255739506	0.0017447632487080675
0.30000099999999996	1.0060203686602278	0.6421417734715281	0.393815333257086	0.0	-0.040818876429949615	0.0	0.0	-0.4868346083861686	0.002139817615253654
0.320001	1.0068376624955497	0.6425883543686748	0.3929727672595188	0.0	-0.04343431235398865	0.0	0.0	-0.48578231903408636	0.0025889808996555214
0.340001	1.007704890552811	0.643061609530924	0.3920781007146162	0.0	-0.04602874025405056	0.0	0.0	-0.4846643673283472	0.0030952608177157712
0.36000099999999996	1.0086215213932443	0.6435613823664119	0.39113176528032617	0.0	-0.04860100964940225	0.0	0.0	-0.48348118682168517	0.0036615554255999216
0.380001	1.009586990800817	0.6440875052895954	0.39013421564192846	0.0	-0.05114996937888257	0.0	0.0	-0.4822332352005595	0.004290648186741402
0.400001	1.0106007018835987	0.6446398000557776	0.38908592946762405	0.0	-0.053674473089426605	0.0	0.0	-0.48092099452961307	0.004985203356926078
0.42000099999999996	1.011662025192994	0.6452180780312946	0.38798740727048847	0.0	-0.056173383224405904	0.0	0.0	-0.4795449713955951	0.005747761697675427
0.440001	1.01277029886261	0.6458221404190139	0.3868391722010392	0.0	-0.05864557404295499	0.0	0.0	-0.47810569698026606	0.006580736526780224
0.460001	1.013924828768595	0.646451778452655	0.3856417697862596	0.0	-0.06108993399821147	0.0	0.0	-0.47660372708137017	0.007486410113541889
0.48000099999999996	1.0151248887133275	0.6471067735694228	0.3843957676256715	0.0	-0.06350536768192261	0.0	0.0	-0.4750396420942168	0.008466930424980637
0.500001	1.0163697206343714	0.647786897567753	0.38310175505169203	0.0	-0.06589079746953323	0.0	0.0	-0.4734140469622131	0.0095243082279585
0.520001	1.0176585348406417	0.6484919127551357	0.3817603427593201	0.0	-0.06824516495413661	0.0	0.0	-0.4717275711019229	0.010660414550857847
0.5400010000000001	1.0189905102777443	0.64922157208971	0.3803721624087449	0.0	-0.07056743222851777	0.0	0.0	-0.4699808683063738	0.01187697850715572
0.5600010000000001	1.0203647948244545	0.6499756193184202	0.37893786620348574	0.0	-0.07285658305555713	0.0	0.0	-0.46817461662905424	0.013175585481944592
0.580001	1.021780505622299	0.6507537891138834	0.3774581264460016	0.0	-0.07511162395469556	0.0	0.0	-0.46630951825015243	0.014557675681180753
0.600001	1.0232367294401872	0.6515558072116447	0.37593363507224525	0.0	-0.077331585223687	0.0	0.0	-0.46438629932594727	0.016024543042197803
0.620001	1.0247325230760074	0.6523813905491535	0.3743651031663149	0.0	-0.07951552190905332	0.0	0.0	-0.4624057098217982	0.01757733450280512
0.640001	1.0262669137970657	0.6532302474075323	0.37275326045612844	0.0	-0.08166251473460781	0.0	0.0	-0.46036852332883643	0.019217049625113312
0.6600010000000001	1.0278388998211871	0.6541020775570159	0.3710988547908911	0.0	-0.08377167099454975	0.0	0.0	-0.4582755368641934	0.02094454056908612
0.6800010000000001	1.029447450840233	0.6549965724067818	0.36940265160101704	0.0	-0.08584212541557656	0.0	0.0	-0.4561275706544116	0.022760512409724185
0.7000010000000001	1.031091508587705	0.6559134151597796	0.367665433341093	0.0	-0.08787304099096083	0.0	0.0	-0.4539254679015182	0.024665523790736502
0.720001	1.0327699874520126	0.6568522809730671	0.3658879989164247	0.0	-0.08986360978843125	0.0	0.0	-0.451670094531128	0.02665998790655948
0.740001	1.0344817751368667	0.6578128371240854	0.36407116309367926	0.0	-0.09181305373286464	0.0	0.0	-0.44936233892184235	0.028744173803646137
0.760001	1.0362257333701423	0.6587947431832413	0.36221575589612137	0.0	-0.09372062536416226	0.0	0.0	-0.4470031116151389	0.030918207991060265
0.780001	1.0380006986624115	0.6597976511931082	0.36032262198394116	0.0	-0.09558560857019488	0.0	0.0	-0.4445933450048894	0.03318207634959612
0.8000010000000001	1.039805483116195	0.6608212058545113	0.3583926200201766	0.0	-0.09740731929431781	0.0	0.0	-0.44213399300560374	0.03553562632787855
0.8200010000000001	1.041638875286812	0.661865044719718	0.3564266220227459	0.0	-0.09918510621665427	0.0	0.0	-0.4396260306984663	0.03797856941321004
0.840001	1.0434996410955324	0.6629287983929146	0.3544255127031258	0.0	-0.10091835140810303	0.0	0.0	-0.4370704539542222	0.04051048386430183
0.860001	1.0453865247955307	0.6640120907381174	0.35239018879223183	0.0	-0.10260647095583145	0.0	0.0	-0.43446827903196145	0.04313081769246453
0.880001	1.047298249990945	0.6651145390946248	0.3503215583540863	0.0	-0.10424891555885775	0.0	0.0	-0.43182054215286103	0.04583889187734099
0.900001	1.0492335207091137	0.6662357545000903	0.3482205400878855	0.0	-0.10584517109220007	0.0	0.0	-0.4291282990479651	0.04863390380284104
0.9200010000000001	1.0511910225258416	0.6673753419212562	0.3460880626191125	0.0	-0.10739475913796945	0.0	0.0	-0.4263926244791098	0.051514930898574174
0.9400010000000001	1.0531694237432943	0.6685329004923601	0.34392506378037224	0.0	-0.10889723748170631	0.0	0.0	-0.4236146117321475	0.05448093447179066
0.960001	1.055167376619878	0.6697080237611888	0.34173248988266236	0.0	-0.1103522005722022	0.0	0.0	-0.42079537208167295	0.057530763714616184
0.980001	1.0571835186511984	0.6709002999427245	0.3395112949778275	0.0	-0.11175927994300965	0.0	0.0	-0.41793603422652026	0.060663159871200294
1.000001	1.0592164739009233	0.6721093121802937	0.33726244011298195	0.0	-0.11311814459382097	0.0	0.0	-0.4150377436953747	0.06387676054931092
1.020001	1.0612648543801049	0.6733346388140934	0.3349868925777211	0.0	-0.1144285013298921	0.0	0.0	-0.4121016622219279	0.06717010416086686
