r	a	alpha	phi1	phi2	psi1	psi2	pi1	pi2	m	Sigmata
1.0e-6	1.0	0.5663720468159907	0.4	0.0	0.0	0.0	0.0	-0.49454201960737854	0.0	0.5663720468159907
0.020001	1.0000324490382244	0.5663906612676977	0.39991685822591966	0.0	-1.2135621645220178e-6	0.0	0.0	-0.4944390206403517	6.489816251117848e-7	0.5664090400999151
0.040001	1.0001296572714906	0.5664464531648014	0.3998583522926785	0.0	-0.004772037083622408	0.0	0.0	-0.49436604435242376	5.185412005547036e-6	0.5665198970663642
0.060001	1.0002916292264752	0.5665394067040207	0.39972999832287887	0.0	-0.007965332305055821	0.0	0.0	-0.4942062919298827	1.749039378089644e-5	0.5667046261529655
0.080001	1.0005182631641123	0.5666694929787983	0.39954131768921974	0.0	-0.010879137477827608	0.0	0.0	-0.4939715114330208	4.142936164284355e-5	0.5669631769032354
0.100001	1.0008094164576413	0.5668366638577528	0.3992953657043617	0.0	-0.013707042954269671	0.0	0.0	-0.4936654537493421	8.084428690007138e-5	0.5672954707822737
0.120001	1.0011649078964036	0.5670408559015245	0.3989932826222708	0.0	-0.016496517412040026	0.0	0.0	-0.49328949704388986	0.0001395462274091305	0.5677014062721476
0.14000100000000001	1.0015845167074857	0.5672819911573345	0.3986356550371431	0.0	-0.019263008980603548	0.0	0.0	-0.4928443288501667	0.0002213077859392032	0.568180858950179
0.160001	1.0020679822471854	0.5675599773814046	0.3982228761517646	0.0	-0.022012213976629183	0.0	0.0	-0.4923303912595846	0.00032985567172518843	0.5687336813388423
0.180001	1.002615003891194	0.567874708131742	0.3977552674068717	0.0	-0.024746174762850973	0.0	0.0	-0.49174803130019	0.0004688633955091966	0.5693597027032172
0.200001	1.0032252409919942	0.5682260628245872	0.39723312727276183	0.0	-0.027465355339828385	0.0	0.0	-0.4910975613469656	0.0006419441201866274	0.5700587288151285
0.220001	1.0038983128644903	0.5686139067804659	0.39665675338113304	0.0	-0.030169464187465172	0.0	0.0	-0.49037928661367053	0.0008526436876448184	0.5708305416881962
0.240001	1.0046337987870992	0.5690380912686608	0.39602645350856647	0.0	-0.03285781975497225	0.0	0.0	-0.4895935188892518	0.0011044338414881612	0.5716748992857947
0.260001	1.005431238014149	0.5694984535536353	0.39534255139815144	0.0	-0.03552952788901378	0.0	0.0	-0.4887405839144949	0.0014007056644894792	0.5725915352035749
0.280001	1.006290129798689	0.5699948169450518	0.3946053899894069	0.0	-0.03818357440917726	0.0	0.0	-0.4878208255739506	0.0017447632487080675	0.5735801583282162
0.30000099999999996	1.0072099334262208	0.5705269908522905	0.393815333257086	0.0	-0.040818876429949615	0.0	0.0	-0.4868346083861686	0.002139817615253654	0.5746404524741976
0.320001	1.0081900682605438	0.5710947708440505	0.3929727672595188	0.0	-0.04343431235398865	0.0	0.0	-0.48578231903408636	0.0025889808996555214	0.5757720760005028
0.340001	1.0092299138032947	0.5716979387134783	0.3920781007146162	0.0	-0.04602874025405056	0.0	0.0	-0.4846643673283472	0.0030952608177157712	0.576974661409325
0.36000099999999996	1.0103288097690057	0.5723362625492042	0.39113176528032617	0.0	-0.04860100964940225	0.0	0.0	-0.48348118682168517	0.0036615554255999216	0.5782478149289787
0.380001	1.0114860561776777	0.57300949681263	0.39013421564192846	0.0	-0.05114996937888257	0.0	0.0	-0.4822332352005595	0.004290648186741402	0.5795911160833628
0.400001	1.012700913467002	0.5737173824218115	0.38908592946762405	0.0	-0.053674473089426605	0.0	0.0	-0.48092099452961307	0.004985203356926078	0.5810041172504657
0.42000099999999996	1.013972602626468	0.5744596468422634	0.38798740727048847	0.0	-0.056173383224405904	0.0	0.0	-0.4795449713955951	0.005747761697675427	0.5824863432125315
0.440001	1.0153003053556913	0.5752360041850226	0.3868391722010392	0.0	-0.05864557404295499	0.0	0.0	-0.47810569698026606	0.006580736526780224	0.5840372907006411
0.460001	1.0166831642493646	0.5760461553123014	0.3856417697862596	0.0	-0.06108993399821147	0.0	0.0	-0.47660372708137017	0.007486410113541889	0.5856564279365915
0.48000099999999996	1.018120283011299	0.5768897879510635	0.3843957676256715	0.0	-0.06350536768192261	0.0	0.0	-0.4750396420942168	0.008466930424980637	0.587343194175065
0.500001	1.0196107267000718	0.5777665768148583	0.38310175505169203	0.0	-0.06589079746953323	0.0	0.0	-0.4734140469622131	0.0095243082279585	0.5890969992492106
0.520001	1.021153522008828	0.5786761837342443	0.3817603427593201	0.0	-0.06824516495413661	0.0	0.0	-0.4717275711019229	0.010660414550857847	0.5909172231228512
0.5400010000000001	1.022747657581807	0.5796182577961301	0.3803721624087449	0.0	-0.07056743222851777	0.0	0.0	-0.4699808683063738	0.01187697850715572	0.59280321545264
0.5600010000000001	1.0243920843701717	0.5805924354923577	0.37893786620348574	0.0	-0.07285658305555713	0.0	0.0	-0.46817461662905424	0.013175585481944592	0.5947542951635708
0.580001	1.0260857160297048	0.5815983408778442	0.3774581264460016	0.0	-0.07511162395469556	0.0	0.0	-0.46630951825015243	0.014557675681180753	0.5967697500413311
0.600001	1.0278274293629217	0.5826355857385891	0.37593363507224525	0.0	-0.077331585223687	0.0	0.0	-0.46438629932594727	0.016024543042197803	0.5988488363450541
0.620001	1.0296160648081019	0.5837037697698443	0.3743651031663149	0.0	-0.07951552190905332	0.0	0.0	-0.4624057098217982	0.01757733450280512	0.6009907784440813
0.640001	1.0314504269776867	0.5848024807647288	0.37275326045612844	0.0	-0.08166251473460781	0.0	0.0	-0.46036852332883643	0.019217049625113312	0.60319476848239
0.6600010000000001	1.0333292852484197	0.5859312948135561	0.3710988547908911	0.0	-0.08377167099454975	0.0	0.0	-0.4582755368641934	0.02094454056908612	0.605459966074373
0.6800010000000001	1.0352513744055118	0.5870897765141208	0.36940265160101704	0.0	-0.08584212541557656	0.0	0.0	-0.4561275706544116	0.022760512409724185	0.6077854980356683
0.7000010000000001	1.037215395343004	0.5882774791931766	0.367665433341093	0.0	-0.08787304099096083	0.0	0.0	-0.4539254679015182	0.024665523790736502	0.6101704581527366
0.720001	1.0392200158223737	0.5894939451393085	0.3658879989164247	0.0	-0.08986360978843125	0.0	0.0	-0.451670094531128	0.02665998790655948	0.6126139069948657
0.740001	1.0412638712912812	0.5907387058473813	0.36407116309367926	0.0	-0.09181305373286464	0.0	0.0	-0.44936233892184235	0.028744173803646137	0.6151148717722457
0.760001	1.043345565764191	0.5920112822747188	0.36221575589612137	0.0	-0.09372062536416226	0.0	0.0	-0.4470031116151389	0.030918207991060265	0.6176723462437006
0.780001	1.0454636727664128	0.5933111851091373	0.36032262198394116	0.0	-0.09558560857019488	0.0	0.0	-0.4445933450048894	0.03318207634959612	0.6202852906775916
0.8000010000000001	1.0476167363429063	0.5946379150489279	0.3583926200201766	0.0	-0.09740731929431781	0.0	0.0	-0.44213399300560374	0.03553562632787855	0.6229526318693083
0.8200010000000001	1.0498032721329706	0.5959909630948466	0.3564266220227459	0.0	-0.09918510621665427	0.0	0.0	-0.4396260306984663	0.03797856941321004	0.6256732632186505
0.840001	1.0520217685117006	0.5973698108541353	0.3544255127031258	0.0	-0.10091835140810303	0.0	0.0	-0.4370704539542222	0.04051048386430183	0.6284460448702676
0.860001	1.0542706877988297	0.5987739308565645	0.35239018879223183	0.0	-0.10260647095583145	0.0	0.0	-0.43446827903196145	0.04313081769246453	0.6312698039201592
0.880001	1.0565484675353083	0.6002027868824417	0.3503215583540863	0.0	-0.10424891555885775	0.0	0.0	-0.43182054215286103	0.04583889187734099	0.634143334691065
0.900001	1.0588535218276742	0.6016558343024964	0.3482205400878855	0.0	-0.10584517109220007	0.0	0.0	-0.4291282990479651	0.04863390380284104	0.6370653990793659
0.9200010000000001	1.0611842427599645	0.6031325204295072	0.3460880626191125	0.0	-0.10739475913796945	0.0	0.0	-0.4263926244791098	0.051514930898574174	0.6400347269758954
0.9400010000000001	1.0635390018725988	0.6046322848814919	0.34392506378037224	0.0	-0.10889723748170631	0.0	0.0	-0.4236146117321475	0.05448093447179066	0.6430500167628107
0.960001	1.065916151707337	0.6061545599562421	0.34173248988266236	0.0	-0.1103522005722022	0.0	0.0	-0.42079537208167295	0.057530763714616184	0.6461099358884119
0.980001	1.0683140274170635	0.6076987710169343	0.3395112949778275	0.0	-0.11175927994300965	0.0	0.0	-0.41793603422652026	0.060663159871200294	0.6492131215215009
1.000001	1.0707309484388072	0.6092643368885057	0.33726244011298195	0.0	-0.11311814459382097	0.0	0.0	-0.4150377436953747	0.06387676054931092	0.6523581812865706
1.020001	1.0731652202280464	0.6108506702644387	0.3349868925777211	0.0	-0.1144285013298921	0.0	0.0	-0.4121016622219279	0.06717010416086686	0.6555436940807862
1.040001	1.0756151360519817	0.6124571781235473	0.3326856251449789	0.0	-0.11569009505769816	0.0	0.0	-0.4091289670891023	0.07054163447592884	0.6587682109733721
1.060001	1.0780789788391039	0.6140832621563184	0.3303596153064253	0.0	-0.11690270903503455	0.0	0.0	-0.40612085044197704	0.07398970527475508	0.6620302561876694
1.080001	1.0805550230820116	0.6157283192003095	0.32800984450333137	0.0	-0.11806616507381996	0.0	0.0	-0.4030785185691659	0.07751258508266422	0.6653283281657386
1.100001	1.083041536790077	0.6173917416840651	0.32563729735386554	0.0	-0.11918032369391526	0.0	0.0	-0.4000031911525192	0.08110846197264333	0.668660900715012
1.120001	1.0855367834882008	0.6190729180789643	0.32324296087781706	0.0	-0.12024508422634599	0.0	0.0	-0.39689610048516394	0.08477544842088035	0.6720264242360933
1.140001	1.0880390242575497	0.620771233358373	0.32082782371977336	0.0	-0.1212603848644045	0.0	0.0	-0.393758490658033	0.08851158620069342	0.6754233270303999
1.1600009999999998	1.0905465198138329	0.622486069463432	0.3183928753718088	0.0	-0.12222620266121134	0.0	0.0	-0.39059161671519005	0.09231485130066126	0.6788500166859376
1.1800009999999999	1.0930575326183516	0.6242168057747699	0.3159391053967686	0.0	-0.12314255347243336	0.0	0.0	-0.38739674377841177	0.09618315885313898	0.6823048815390788
1.2000009999999999	1.0955703290167496	0.6259628195893965	0.3134675026532564	0.0	-0.124009491842989	0.0	0.0	-0.3841751461416521	0.10011436805975672	0.6857862922098074
1.220001	1.0980831814001037	0.6277234866019914	0.3109790545234568	0.0	-0.12482711083671683	0.0	0.0	-0.38092810633618307	0.10410628710094955	0.6892926032074801
1.240001	1.100594370382733	0.6294981813897761	0.30847474614494214	0.0	-0.1255955418081433	0.0	0.0	-0.37765691416737524	0.10815667801705216	0.6928221546037561
1.260001	1.1031021869908582	0.6312862779001195	0.3059555596476288	0.0	-0.12631495411565735	0.0	0.0	-0.37436286572425664	0.11226326154899742	0.6963732737689404
1.280001	1.1056049348560393	0.6330871499400089	0.3034224733970606	0.0	-0.12698555477558293	0.0	0.0	-0.37104726236316066	0.11642372192720245	0.6999442771676191
1.300001	1.108100932407127	0.6349001716664866	0.3008764612452039	0.0	-0.12760758805683506	0.0	0.0	-0.3677114096669496	0.12063571159777753	0.7035334722090788
1.320001	1.1105885150543187	0.6367247180771362	0.2983184917899458	0.0	-0.12818133501604817	0.0	0.0	-0.3643566163814708	0.12489685587577935	0.7071391591476663
1.340001	1.11306603735879	0.6385601654996858	0.2957495276444836	0.0	-0.12870711297327828	0.0	0.0	-0.3609841933310709	0.12920475751581686	0.7107596330279083
1.360001	1.11553187518129	0.640405892079781	0.29317052471779237	0.0	-0.12918527492859888	0.0	0.0	-0.35759545231515727	0.13355700119093314	0.714393185668905
1.380001	1.1179844278030435	0.6422612782659709	0.29058243150734725	0.0	-0.12961620892013587	0.0	0.0	-0.3541917049879554	0.13795115787129578	0.7180381076822328
1.400001	1.1204221200122986	0.6441257072909479	0.2879861884052643	0.0	-0.13000033732431512	0.0	0.0	-0.35077426172375525	0.14238478909486174	0.7216926905173451
1.4200009999999998	1.1228434041498845	0.6459985656480807	0.28538272701900624	0.0	-0.13033811609932777	0.0	0.0	-0.34734443047008656	0.14685545112280243	0.7253552285282335
1.4400009999999999	1.1252467621072213	0.6478792435622809	0.2827729695077765	0.0	-0.13063003397305056	0.0	0.0	-0.34390351559138804	0.15136069897310994	0.7290240210549324
1.4600009999999999	1.127630707270329	0.6497671354542547	0.2801578279356983	0.0	-0.1308766115768897	0.0	0.0	-0.34045281670585675	0.15589809032643026	0.732697374513297
1.480001	1.129993786403537	0.6516616403972009	0.27753820364284376	0.0	-0.1310784005272454	0.0	0.0	-0.33699362751826706	0.16046518929879935	0.7363736044863731
1.500001	1.1323345814667776	0.6535621625650333	0.27491498663514136	0.0	-0.13123598245651868	0.0	0.0	-0.33352723465164175	0.16505957007656571	0.740051037810599
1.520001	1.1346517113605827	0.6554681116712283	0.27228905499415057	0.0	-0.13134996799580043	0.0	0.0	-0.3300549164807318	0.16967882040940693	0.7437280146500488
