#rf          f_0     w                       Masa ADM                N                       Masa99                  Radio99         Compacticidad

120.0       0.02    0.9868944792432538      0.2798291012762931      -862.612277856098       0.2770371727768394      33.640001       0.008235349718831442
74.0        0.04    0.9735612200092116      0.37986609533044113     -567.4028750804783      0.37607887699525666     23.460001       0.016030641984851435
72.0        0.06    0.9600034090123911      0.44677665114094783     -431.1308319602041      0.442324898240442       18.900001       0.0234034325310587
66.0        0.08    0.9462246002219487      0.4956242309033075      -347.3162562770201      0.4907004504813328      16.160001       0.030365125007191074
53.0        0.1     0.9322287316862933      0.5325636630962074      -288.86898879663966     0.5272458648971536      14.260001       0.036973760723940596
49.0        0.12    0.9180201363910274      0.5609054681101083      -245.11625755264086     0.5553196630735775      12.860001       0.04318193000712656
49.0        0.14    0.903603554910011       0.5827020944244135      -210.84791769669542     0.5768934393893139      11.760001       0.04905556040253006
39.0        0.16    0.8889841480608102      0.5993417518064317      -183.15840317891477     0.5934063467781661      10.880001       0.05454101950709068
36.0        0.18    0.8741675104682364      0.61182029638404        -160.27731944074614     0.6057624675621102      10.140001       0.059739882428227586
43.0        0.2     0.8591596820437711      0.6208828361931963      -164.17082409391216     0.6146784481723222      9.500001        0.06470298773361416
38.0        0.22    0.843967159632124       0.6271042542148102      -147.7253186958725      0.6208413526631721      8.960001        0.0692903218050056
39.0        0.24    0.8285969110839526      0.6309391771386129      -133.46554049801674     0.6247018579542903      8.500001        0.07349432758352503
36.0        0.26    0.8130563855421962      0.6327538460534756      -120.98652179842314     0.6264822334472383      8.080001        0.07753492028617798
30.0        0.28    0.7973535253091485      0.632847833884823       -109.98195322025781     0.6265242262388363      7.700001        0.08136677206130705 (MAX M)
31.0        0.3     0.7814967774887992      0.6314695551279065      -100.2178210503811      0.6252328675643976      7.380001        0.08471988927432361
32.0        0.32    0.7654951033238145      0.6288268036749377      -91.50666486448267      0.6226180378279006      7.080001        0.08794038840219098
32.0        0.34    0.7493579893267484      0.6250951261629518      -83.69805847276572      0.6188763652179295      6.800001        0.09101121679510482
33.0        0.36    0.7330954563325911      0.6204242215283597      -76.6726099406435       0.6143023527457525      6.560001        0.0936436370582493
33.0        0.38    0.7167180682179437      0.6149421923758882      -70.32846233946402      0.6089192449074452      6.340001        0.09604402978918224
27.0        0.4     0.700236939703862       0.608759790429208       -64.58358871391978      0.6027237562635194      6.120001        0.09848425780706888
30.0        0.42    0.683663743808093       0.6019731447865565      -59.36913668189119      0.5960801646343253      5.940001        0.10035017917241518
28.0        0.44    0.6670107168552905      0.5946660114556125      -54.62439250586118      0.5888252109127529      5.760001        0.10222658136912699
28.0        0.46    0.6502906642139269      0.586912096996461       -50.29990871305133      0.581170423225548       5.600001        0.10378041418663103
26.0        0.48    0.6335169630993206      0.5787764091794548      -46.352207948994646     0.5730576719493988      5.440001        0.10534146444998793
31.0        0.5     0.6167035649275895      0.5703167284988782      -42.74439655119124      0.5646819064790788      5.300001        0.10654373583685717
29.0        0.52    0.5998649950130037      0.5615845718708538      -39.442694444794675     0.5560998762070073      5.180001        0.10735516773201537
25.0        0.54    0.5830163512174906      0.5526264198659966      -36.41933237655199      0.5471008146193895      5.040001        0.1085517273943774
25.0        0.56    0.5661732998960234      0.5434843698175342      -33.64941585539144      0.5381237350116694      4.940001        0.10893190811331199
25.0        0.58    0.5493520688061247      0.5341968899079225      -17.090768460642717     0.5289473768016059      4.840001        0.10928662551962404
25.0        0.6     0.5325694376688827      0.5247994621879357      -15.329415895386338     0.5196116138900349      4.740001        0.10962268022518029
26.0        0.62    0.5158427247065264      0.5153251647681002      -13.748054391965853     0.5102788934601973      4.660001        0.10950188496959491
26.0        0.64    0.4991897690462333      0.5058050489828468      -12.329004769461067     0.5008550142832551      4.580001        0.10935696614111111
26.0        0.66    0.48262890813822634     0.4962687753063333      -11.056801489637252     0.4913727017998453      4.500001        0.10919390946798574
24.0        0.68    0.46617894922824954     0.4867448882159695      -9.917350976404371      0.4819833157764977      4.440001        0.10855477640128858
26.0        0.7     0.4498591341712722      0.47726123234305196     -8.898001803326634      0.4725933935431536      4.380001        0.10789801042126557
